1000 374625
837 447 27
194 784 9
999 616 71
757 962 35
325 592 61
219 385 57
63 867 50
136 392 68
268 38 2
907 162 57
897 985 56
654 484 60
635 300 90
695 236 21
222 178 82
696 479 32
593 59 62
915 351 93
978 604 76
626 759 8
788 798 6
652 84 34
423 221 15
268 875 95
208 749 40
447 701 1
171 234 54
64 10 29
347 937 67
237 979 52
39 127 89
95 993 6
0 911 21
33 739 38
108 779 62
109 359 82
132 689 74
766 77 15
388 234 34
275 939 18
429 174 46
957 97 75
760 114 29
324 724 82
376 87 33
10 764 12
162 934 34
53 993 40
625 355 76
79 318 66
700 792 89
610 175 18
639 26 34
238 366 27
46 135 80
71 940 66
711 538 79
298 392 87
473 890 28
76 65 40
236 573 47
901 72 36
854 770 30
885 881 78
334 633 11
376 816 34
870 639 51
874 645 36
111 670 12
732 84 55
336 591 42
899 35 73
756 752 92
489 778 85
120 887 84
325 519 67
488 761 64
902 339 37
697 44 63
331 324 53
494 566 50
59 897 14
602 182 44
224 233 1
558 97 98
788 616 99
277 561 76
799 897 12
658 934 11
103 245 31
215 119 57
677 331 11
127 789 13
980 463 56
337 277 84
554 391 1
756 856 41
303 999 93
580 95 23
73 809 1
389 533 60
604 164 65
848 680 9
552 751 27
242 683 38
302 155 57
9 592 8
998 672 31
254 446 49
218 256 63
433 298 12
471 504 34
198 135 1
760 94 46
442 812 48
568 735 28
370 805 81
285 772 26
403 445 47
479 857 91
212 446 83
863 964 16
867 236 36
205 360 27
195 467 21
709 852 65
870 182 67
605 823 91
632 722 67
767 425 88
677 642 7
171 936 5
344 524 24
831 611 30
636 582 21
4 829 60
988 343 27
536 233 47
866 863 63
309 725 94
196 241 89
993 663 27
958 490 62
402 92 53
568 558 85
758 799 83
810 162 34
494 162 77
269 538 41
681 984 85
852 504 87
542 987 3
563 726 24
218 350 24
792 565 13
853 932 6
907 361 80
203 469 33
509 963 47
562 287 74
608 476 82
426 485 43
116 878 39
953 571 5
737 729 83
344 970 60
940 245 35
307 114 17
866 909 7
320 82 100
569 218 24
679 76 14
756 68 78
32 43 87
299 452 22
465 539 25
705 77 30
439 475 43
493 479 82
734 307 42
385 617 32
291 989 69
434 150 49
326 966 95
427 683 8
747 821 69
290 333 84
814 124 46
97 194 29
973 172 7
480 122 15
914 89 30
793 59 40
823 987 57
898 590 80
590 840 82
274 191 89
20 678 98
444 273 86
274 626 17
687 149 30
275 206 37
904 395 66
105 28 96
915 77 60
245 846 5
111 326 15
156 272 12
301 702 59
366 987 11
342 17 19
792 733 81
133 975 82
996 915 90
714 713 11
538 577 45
291 325 38
332 265 50
628 795 54
659 498 85
269 513 64
306 447 91
284 389 94
298 799 8
774 244 65
