100 200
82 14 94
33 97 21
4 24 1
38 99 38
35 12 90
50 72 23
94 77 89
47 87 41
98 58 86
15 92 4
63 95 43
65 23 2
2 33 32
4 84 18
60 41 6
46 37 23
36 43 94
35 75 57
23 30 67
19 49 14
52 93 94
11 65 88
40 84 27
5 44 58
70 28 21
41 75 17
25 9 49
86 79 16
29 4 45
82 19 67
28 43 16
82 51 44
42 28 94
65 26 48
39 4 73
31 16 13
27 4 73
92 47 49
51 55 6
21 26 71
20 59 16
16 55 35
17 0 86
50 92 97
10 39 1
10 47 14
84 94 73
61 46 18
78 98 18
33 65 13
75 86 32
4 88 1
63 40 22
86 16 19
53 77 40
15 83 20
50 7 46
86 26 69
31 81 37
19 54 90
66 39 96
12 36 9
62 31 34
36 58 43
33 74 9
83 20 29
77 76 87
54 74 16
87 19 81
38 59 37
83 30 88
58 36 82
13 57 27
48 79 32
13 81 30
27 42 97
86 85 96
20 10 81
93 72 15
19 69 46
94 75 38
62 89 50
69 96 48
75 58 1
63 71 81
18 42 60
17 34 69
25 67 74
34 82 20
29 99 89
52 40 32
41 76 8
54 47 73
78 1 18
75 17 48
8 62 11
27 30 36
21 65 19
49 47 56
63 79 41
15 46 25
24 81 14
49 36 13
93 39 59
65 21 35
1 96 30
51 54 91
50 75 25
21 60 13
1 85 39
41 46 24
26 79 84
81 72 98
59 45 70
59 48 50
3 27 11
74 93 48
19 59 94
52 78 11
34 85 50
61 60 27
59 88 34
5 76 62
62 75 85
58 22 46
42 36 22
48 64 70
1 82 60
24 52 10
76 8 62
0 32 92
0 25 53
90 68 91
90 54 37
87 95 2
82 8 63
60 78 90
19 59 87
38 83 39
67 7 61
58 71 84
60 1 8
79 50 44
8 83 55
36 41 3
61 60 93
27 79 84
30 28 9
73 58 23
43 53 7
79 45 93
17 22 21
73 94 83
62 65 3
43 50 1
12 3 46
55 63 69
59 17 51
43 63 47
6 65 50
75 10 54
54 79 55
21 76 9
68 35 71
88 12 96
90 43 87
76 95 37
79 20 11
23 20 90
93 94 31
16 96 16
14 79 7
38 27 66
82 47 4
37 97 22
68 71 66
97 89 40
43 94 55
98 39 59
58 94 47
66 59 27
52 84 57
93 87 73
33 7 70
94 73 16
89 70 10
86 56 29
54 62 68
9 3 78
49 55 9
42 62 37
80 84 87
25 41 80
51 83 9
34 86 69
92 51 31
72 23 29
74 60 50
76 69 59
1 86 96
