200 3999
130 170 21
26 113 53
3 131 85
59 78 7
90 199 42
90 188 71
2 188 57
52 59 49
77 94 23
81 197 8
173 191 44
24 89 44
40 71 45
39 54 7
122 162 69
52 162 9
12 153 81
103 122 79
71 181 88
27 92 100
3 91 11
33 128 67
10 180 33
113 133 95
32 123 95
83 89 8
37 180 95
45 154 100
147 181 93
183 187 41
39 46 84
147 172 59
2 60 65
42 105 38
83 129 17
116 191 4
97 185 64
15 176 80
12 182 75
88 90 19
90 139 63
38 103 43
38 113 82
72 172 12
27 33 76
78 196 19
88 145 17
118 121 22
118 160 29
59 189 25
31 101 82
6 23 91
21 66 72
10 153 1
133 194 25
22 72 56
16 98 75
40 45 59
25 79 8
52 156 56
77 129 45
19 56 99
137 196 7
130 191 1
11 48 55
4 181 75
7 116 31
65 126 89
47 172 61
118 157 97
105 190 20
21 72 95
118 179 66
123 189 11
111 150 13
96 141 35
92 158 99
133 183 34
146 170 59
21 133 37
35 113 12
73 191 68
5 163 34
107 185 49
84 150 80
8 199 95
17 78 55
29 42 89
66 191 79
4 196 87
163 186 44
69 135 97
56 81 78
66 97 19
29 104 5
50 155 11
8 67 91
154 175 77
118 165 74
68 139 9
67 145 33
128 169 75
111 115 35
84 163 18
1 31 38
8 121 100
45 102 93
104 146 75
21 155 68
14 23 36
72 153 89
11 142 2
39 114 60
14 22 38
55 81 12
156 165 17
12 64 33
57 166 12
58 67 77
169 191 27
10 70 34
62 156 60
142 168 79
19 169 86
9 125 7
115 176 81
52 177 8
46 59 26
23 66 66
79 174 94
94 106 16
59 167 92
33 177 39
124 128 2
36 51 98
66 198 72
29 150 99
151 181 53
72 148 41
33 131 8
138 173 19
54 152 35
24 84 78
38 85 55
38 76 4
47 164 50
92 121 2
71 151 52
128 172 84
49 167 51
119 178 48
70 165 44
172 179 21
35 176 1
27 116 46
61 119 20
107 143 4
7 127 91
25 50 44
66 134 76
2 174 29
80 113 94
55 134 55
140 171 43
87 192 20
31 63 69
42 166 66
0 103 27
19 20 24
8 165 57
44 90 26
24 99 72
158 195 6
9 38 75
24 61 17
94 165 97
144 187 11
49 165 71
8 117 56
16 179 18
15 96 76
50 179 43
32 171 13
111 164 87
33 72 60
29 78 46
138 145 71
82 93 11
134 155 62
75 186 79
94 129 59
145 190 92
13 14 54
137 145 8
11 26 66
67 117 76
76 155 5
45 61 65
105 161 26
58 131 69
113 139 25
51 123 89
161 168 98
52 88 97
12 181 13
4 165 85
115 151 59
56 110 6
136 184 35
84 130 49
11 67 32
25 32 67
1 151 34
39 154 86
29 154 100
21 67 40
133 193 74
69 145 31
6 66 42
41 186 90
1 57 60
75 82 6
91 109 67
103 127 21
52 115 23
40 152 92
15 107 50
8 146 95
43 84 7
87 148 43
134 165 74
21 106 70
148 185 94
61 104 36
46 199 18
52 181 23
42 80 39
38 101 8
68 78 82
169 175 27
13 124 95
50 75 96
49 125 23
102 188 80
43 150 68
19 58 62
90 112 66
7 35 93
27 85 48
69 130 15
32 156 50
123 162 46
37 123 30
14 19 26
101 120 78
151 184 34
33 141 93
12 35 28
57 141 39
12 45 45
21 190 89
20 45 85
107 142 5
29 123 89
61 103 46
39 183 68
43 115 25
155 168 96
134 181 55
73 131 88
36 67 59
6 77 4
7 183 82
75 112 20
92 126 82
4 175 56
177 195 16
0 132 85
95 139 43
125 185 2
32 74 64
41 153 17
70 123 62
60 85 28
12 164 59
95 193 100
88 159 41
47 117 2
1 27 46
10 46 36
107 158 50
13 55 43
30 56 31
71 140 31
48 113 92
118 124 65
41 101 51
15 16 80
141 160 57
56 183 73
35 124 100
118 196 51
88 181 80
110 165 50
93 182 1
5 20 53
17 169 10
74 91 13
169 196 33
29 113 5
27 142 74
12 27 52
17 160 33
12 25 90
109 186 11
56 113 26
152 175 66
8 104 92
79 110 48
51 112 68
8 99 89
131 194 92
12 23 88
63 109 86
50 80 53
43 107 60
53 186 41
151 191 51
1 101 9
28 74 74
57 116 87
33 147 75
58 88 91
70 112 39
13 77 15
64 69 5
32 199 71
45 108 47
79 90 93
12 177 52
45 70 71
112 196 69
91 140 80
100 109 30
47 181 29
50 173 18
35 81 72
48 126 88
72 98 40
38 137 19
40 191 38
180 185 36
43 113 12
106 176 30
3 130 98
66 95 59
72 125 100
86 98 91
129 135 37
62 185 36
144 154 82
103 117 20
10 20 15
115 193 21
9 144 28
135 185 58
130 178 78
123 154 98
52 180 2
47 90 6
22 153 53
13 180 31
74 112 85
45 175 53
112 142 92
100 143 17
173 178 4
158 180 44
5 6 53
12 82 100
42 190 6
47 137 96
112 117 25
2 88 67
56 130 29
18 51 11
0 191 11
125 155 27
22 174 51
132 150 59
147 167 40
44 120 83
158 199 61
31 100 33
121 195 77
113 116 82
12 198 37
137 164 91
41 130 2
47 132 49
1 171 98
69 159 32
20 158 20
29 36 72
60 138 47
87 151 76
65 140 6
97 199 12
108 140 23
32 128 82
31 193 78
20 174 67
108 149 10
58 61 99
20 133 89
42 159 85
62 162 23
187 192 69
87 162 43
46 118 35
135 142 38
78 90 75
94 193 20
80 121 46
24 107 73
123 137 63
93 115 3
102 198 77
162 179 83
53 141 61
103 190 95
116 143 47
52 142 8
99 128 53
34 80 27
101 175 68
162 195 56
21 34 45
75 104 35
53 126 37
49 76 81
29 98 85
58 106 83
54 134 96
69 193 77
18 129 86
26 196 69
160 183 84
27 178 24
60 195 32
113 197 51
108 115 59
111 133 13
22 44 10
34 39 90
57 123 76
75 94 66
92 95 27
123 198 67
146 177 37
15 139 84
66 145 27
43 109 74
111 131 32
102 196 62
7 189 39
90 103 7
108 191 70
26 160 30
31 113 98
132 163 12
38 71 70
178 182 13
20 190 45
69 117 93
37 158 68
7 46 42
9 199 69
60 66 69
3 48 85
58 83 5
103 165 13
36 62 65
166 185 10
54 136 64
105 144 3
84 197 50
185 196 42
115 188 84
61 168 6
117 171 74
145 199 4
46 70 17
78 108 34
74 106 85
68 194 82
8 54 80
63 125 34
63 145 16
11 20 48
161 187 16
43 78 49
89 119 51
65 73 38
98 104 74
94 197 29
109 148 64
42 186 91
12 119 94
6 176 37
155 195 89
73 164 20
25 73 81
151 173 19
95 127 19
122 190 95
163 189 79
63 129 60
48 188 19
62 126 56
65 186 26
67 172 51
6 101 16
81 83 90
153 189 98
87 146 25
57 168 26
114 123 24
80 137 11
28 68 86
142 145 96
13 140 20
51 81 54
7 181 13
97 130 65
100 132 45
163 199 56
75 142 22
166 194 66
26 82 92
5 30 26
136 171 2
119 155 95
47 87 67
98 164 45
67 126 1
20 94 42
149 171 76
87 123 94
133 191 37
46 104 72
21 65 68
66 131 78
79 151 97
51 170 65
16 111 78
95 166 87
11 36 6
100 128 34
7 69 43
51 179 35
120 127 96
40 55 45
37 189 97
26 60 100
34 83 88
50 64 6
123 138 53
65 192 51
177 184 33
148 166 83
99 174 50
41 65 79
10 107 77
44 151 13
18 192 52
57 184 12
129 196 78
90 167 20
56 99 87
51 116 97
125 196 99
34 166 11
64 153 48
23 130 84
25 106 67
41 185 68
124 186 74
69 126 7
73 172 60
83 181 23
61 91 92
22 176 49
108 119 94
88 106 94
159 169 37
158 177 98
81 112 60
4 137 65
98 111 76
20 139 3
112 145 60
15 108 34
116 135 92
59 127 43
90 187 12
101 180 21
62 164 32
49 78 27
48 178 85
33 190 97
85 149 70
60 62 63
0 67 58
32 122 99
11 12 32
34 128 33
128 142 26
112 168 63
54 103 41
8 188 85
187 194 58
100 184 14
48 173 50
103 123 13
99 110 61
55 69 62
162 189 15
102 125 67
28 154 7
79 195 78
128 131 12
30 54 86
79 143 95
36 87 30
109 138 10
166 191 98
26 111 38
19 170 88
31 171 48
62 159 10
103 112 44
113 180 81
56 84 39
158 163 77
47 73 16
4 193 92
109 198 82
58 75 21
19 79 55
130 174 10
142 161 48
106 114 73
42 179 98
181 191 58
11 134 38
6 115 86
102 121 80
10 84 69
1 58 69
162 180 78
20 71 53
53 129 75
51 91 1
10 169 10
8 57 38
121 171 9
7 146 13
11 37 76
53 146 91
33 136 65
75 88 17
18 114 69
103 133 76
142 185 60
37 60 92
16 117 12
86 177 83
8 137 87
1 3 100
69 100 2
70 182 1
102 177 50
158 167 30
3 84 67
46 131 24
119 132 11
143 190 63
16 134 65
74 141 45
32 84 10
36 143 4
25 58 24
87 134 13
0 116 68
24 51 32
4 41 44
27 160 72
11 70 21
156 185 71
0 36 27
163 185 15
80 181 3
19 85 74
64 88 33
24 55 92
78 106 20
30 131 6
10 74 34
32 107 41
133 169 25
122 165 77
86 116 10
3 7 91
75 133 26
22 88 44
145 179 97
64 94 77
179 197 19
4 194 65
10 13 100
19 30 68
6 71 45
48 165 54
155 186 34
34 189 41
54 77 100
145 188 52
39 124 16
18 121 20
51 164 78
10 52 88
36 84 4
61 189 50
30 138 11
77 144 1
58 62 65
155 164 33
6 72 44
75 166 30
41 162 14
30 61 80
81 177 11
162 187 23
147 165 92
42 142 24
60 152 87
7 113 46
13 87 93
2 119 89
25 81 85
112 141 48
75 161 76
7 16 95
153 184 47
28 172 12
149 187 100
92 156 39
86 88 91
129 146 60
60 161 43
57 108 33
21 84 90
56 66 93
106 147 63
170 179 76
3 53 37
94 95 40
133 161 56
15 52 16
124 131 24
52 66 25
80 167 55
18 52 38
89 94 40
135 177 70
58 176 78
117 154 32
86 150 57
110 162 41
52 173 82
94 132 65
137 158 99
117 155 49
7 52 26
112 127 13
115 136 70
125 183 64
4 148 27
163 184 3
179 181 51
181 195 14
33 172 87
9 116 16
82 128 36
146 160 20
38 167 74
89 134 11
158 176 38
61 94 15
8 25 90
0 118 96
58 144 28
100 139 86
114 165 33
86 173 30
76 174 33
106 193 21
3 68 78
107 144 48
126 148 76
0 42 86
71 80 5
69 87 57
38 144 15
68 179 32
3 92 41
0 135 77
74 120 34
30 86 98
38 128 39
70 152 43
20 183 70
102 117 7
35 125 49
10 63 19
101 193 34
118 153 16
108 162 47
32 136 6
70 192 95
52 145 15
111 186 34
149 175 93
42 106 11
33 44 81
8 183 30
30 52 70
45 94 58
55 121 45
171 177 97
52 158 30
69 189 38
43 69 44
20 159 47
33 68 77
138 181 97
118 138 61
45 149 18
83 172 74
25 26 40
190 195 76
8 168 66
87 115 94
31 102 54
26 109 63
9 71 86
164 193 55
43 133 63
8 130 49
141 153 32
42 133 47
69 169 46
43 60 31
7 171 52
33 130 33
2 176 59
5 21 51
24 150 100
23 141 4
66 153 2
65 113 57
42 154 16
123 166 23
23 83 44
15 19 99
124 148 99
6 86 2
46 51 5
27 151 25
1 149 57
46 187 93
74 89 35
21 37 84
44 141 70
97 121 90
108 160 97
112 170 49
39 194 64
80 163 87
27 120 94
124 170 49
22 197 8
156 170 36
28 105 77
104 188 91
35 133 68
2 68 34
173 177 94
63 199 1
42 66 97
121 124 51
92 102 9
85 88 66
97 103 71
54 145 21
33 75 73
5 29 58
52 125 82
50 117 84
7 72 24
38 39 93
37 92 66
1 23 71
26 45 99
30 173 99
167 188 75
42 137 75
75 96 24
150 157 90
51 135 5
102 190 84
26 144 9
23 69 79
32 106 23
48 151 51
65 129 45
184 192 52
107 176 92
6 180 8
71 73 41
157 170 95
73 127 82
7 110 28
1 137 33
64 135 30
66 163 90
167 179 100
35 167 22
123 149 42
3 175 21
1 134 64
54 161 77
119 145 43
75 137 61
11 118 70
30 59 56
27 144 55
35 42 50
50 144 42
130 144 21
20 95 43
152 198 55
78 166 20
73 139 99
96 112 43
47 135 96
30 183 56
64 172 78
37 194 46
167 169 6
129 145 36
20 28 68
6 34 23
130 142 19
107 162 44
43 90 33
8 179 11
115 162 60
175 187 40
126 157 28
27 123 29
148 168 96
57 172 84
55 83 57
5 56 73
31 57 44
7 24 67
125 160 54
136 180 28
26 147 68
6 171 53
34 170 47
36 172 26
27 68 68
150 151 76
58 193 5
13 102 27
2 134 58
2 101 62
42 164 59
103 189 90
57 122 61
5 18 64
59 75 40
129 178 82
1 80 9
137 150 18
75 170 8
139 161 62
45 141 39
84 90 94
108 133 9
39 76 28
28 61 30
38 145 24
64 79 9
105 178 80
2 120 62
154 195 52
134 196 5
41 134 26
53 84 7
56 129 25
9 26 33
117 135 71
106 150 94
27 189 44
57 189 59
44 170 76
4 91 86
90 114 42
88 199 41
24 102 79
16 90 81
32 97 86
45 173 41
1 13 63
24 37 76
106 108 79
47 92 80
15 86 83
28 103 86
54 140 38
37 134 30
42 126 41
60 80 19
82 153 59
18 157 99
102 185 17
123 143 100
78 99 76
163 181 5
25 35 71
43 195 84
56 120 22
90 184 35
55 122 24
109 155 73
124 144 81
148 198 37
52 164 49
95 150 56
7 28 9
34 193 88
143 168 60
101 105 76
26 80 26
12 172 82
47 190 26
17 113 84
28 120 24
40 140 83
117 172 13
56 60 12
120 153 75
182 191 80
84 128 8
20 93 45
16 139 76
9 112 82
79 116 48
47 97 50
87 168 60
34 111 8
126 188 13
80 158 83
21 147 5
2 195 68
82 150 55
54 111 9
18 67 94
79 138 80
22 128 47
39 149 44
94 148 92
124 165 68
38 197 14
44 71 78
127 133 97
119 194 86
112 113 66
33 83 18
153 179 93
61 170 7
132 191 5
8 155 44
24 67 40
90 159 54
67 104 12
6 118 7
36 148 10
46 170 94
59 196 5
168 186 72
95 157 46
151 164 89
57 179 17
73 199 23
45 144 63
36 152 22
27 132 2
79 109 30
59 156 6
160 173 13
39 70 81
104 165 22
7 120 22
4 151 77
101 159 14
135 172 95
4 98 72
126 172 13
12 54 88
55 185 75
2 95 22
135 156 2
52 153 81
82 91 42
88 170 55
36 174 24
29 94 41
61 117 14
76 159 83
13 198 98
9 52 29
104 122 2
146 199 9
51 151 4
14 86 21
29 161 4
11 98 11
105 180 76
34 37 9
138 190 50
98 155 91
39 128 6
151 172 35
184 198 28
86 92 38
20 56 81
18 127 44
16 186 34
12 121 96
20 123 99
59 198 40
48 89 93
18 25 32
29 167 52
32 135 33
3 43 43
73 126 14
72 161 72
66 90 87
2 182 6
34 145 76
74 97 37
86 110 79
128 134 58
15 130 51
138 174 9
67 180 75
136 178 57
26 174 42
62 111 52
24 97 82
65 79 62
70 185 68
56 79 59
46 184 15
4 153 68
10 168 98
51 66 40
101 171 8
17 47 83
97 145 38
5 104 8
83 187 32
28 65 94
25 117 88
32 187 35
150 190 37
87 197 27
110 171 39
101 144 72
136 179 66
89 194 91
116 152 60
19 130 28
135 166 1
12 88 24
68 94 81
12 140 78
70 95 88
167 170 38
42 194 100
28 79 92
3 81 71
24 85 81
2 110 81
18 178 68
82 163 95
89 191 30
19 118 16
96 98 84
24 92 90
14 191 19
3 94 58
50 70 35
64 147 71
13 194 78
172 199 44
15 117 70
29 54 92
78 132 41
118 125 24
129 186 62
27 184 61
48 51 19
10 35 100
45 67 66
55 93 75
94 162 13
126 162 2
58 163 76
75 163 98
106 111 9
34 61 55
25 141 75
34 188 20
38 143 60
71 136 27
31 60 83
68 182 100
11 54 65
62 183 55
46 96 79
55 103 62
94 133 81
161 190 27
140 164 34
50 129 92
120 177 71
131 174 89
37 122 99
92 94 96
40 64 11
143 192 49
84 181 65
161 169 27
4 134 28
17 54 14
123 181 30
47 111 57
49 94 59
167 181 51
100 176 58
10 123 36
33 82 5
18 162 2
61 88 93
32 150 98
85 128 88
129 162 94
72 126 84
7 89 57
1 103 15
10 164 91
72 79 98
77 154 85
64 84 5
127 198 18
67 171 89
34 113 34
7 93 11
119 134 56
98 118 35
10 11 94
47 148 92
18 117 23
184 197 11
26 146 79
72 86 63
59 113 16
27 55 90
7 122 69
121 135 81
64 76 68
83 98 15
141 178 20
125 143 98
47 49 55
54 72 21
15 84 13
6 114 77
60 74 24
38 192 4
99 121 53
26 132 83
5 126 11
92 144 41
130 184 17
46 68 83
64 155 7
108 154 31
71 79 78
53 102 66
14 153 78
42 192 90
11 105 99
44 59 85
81 126 70
70 136 33
73 86 87
2 76 25
42 53 44
9 39 63
29 80 8
37 97 62
10 149 58
165 199 83
92 136 86
17 163 34
14 34 27
139 155 18
142 148 52
56 127 61
148 192 16
14 35 65
74 196 75
78 113 65
166 187 74
55 173 97
27 118 40
13 158 83
38 70 43
124 126 85
59 100 48
4 51 49
17 184 68
37 98 19
18 73 100
47 127 49
38 158 40
51 181 26
44 46 38
38 93 98
57 139 76
110 164 46
172 185 8
1 6 81
53 188 40
150 177 25
46 56 72
4 97 66
49 175 24
32 82 2
154 186 24
31 62 85
150 192 92
73 190 26
5 42 24
3 154 50
64 75 69
52 131 36
26 70 86
40 86 48
9 138 43
91 113 70
103 142 17
6 108 9
173 180 74
13 49 41
157 158 8
104 111 53
16 92 41
131 136 6
116 154 56
49 110 97
22 166 54
14 127 86
97 124 41
49 89 19
66 182 23
46 179 63
152 177 39
85 130 68
40 89 1
78 190 85
163 174 26
100 150 96
14 43 19
54 128 37
172 198 31
82 185 98
78 188 56
49 80 33
38 151 23
78 139 94
28 102 21
94 123 43
119 144 60
92 133 9
69 183 55
112 165 52
21 63 65
158 194 78
3 146 10
7 143 62
106 116 16
68 107 11
19 24 83
33 140 65
44 139 74
74 172 27
55 68 25
156 168 64
106 180 5
35 62 15
82 197 24
171 175 89
160 192 25
1 197 49
71 89 49
67 80 52
22 87 22
26 128 7
91 131 39
38 142 72
50 161 21
62 89 60
29 46 74
77 90 86
32 80 30
116 175 32
28 49 54
185 195 84
128 174 64
89 179 99
168 192 34
124 134 91
29 171 41
39 45 62
34 121 68
128 156 56
91 93 14
2 19 45
44 57 19
25 122 26
95 151 76
93 184 77
75 183 81
41 42 2
6 160 8
156 196 15
104 180 35
23 165 31
8 55 93
5 45 11
18 128 48
25 45 43
36 139 54
96 103 94
132 133 75
80 186 4
100 182 61
43 131 14
111 182 59
139 173 55
18 112 65
179 196 95
9 153 68
51 139 83
4 22 46
11 197 93
65 98 66
42 141 36
96 97 30
9 16 41
92 142 54
86 112 62
38 131 40
87 163 98
52 150 15
13 190 85
16 51 76
4 102 71
10 188 7
24 145 4
59 192 4
148 163 48
17 159 8
18 71 47
55 105 81
43 123 17
49 75 91
69 150 6
21 163 42
1 166 84
114 198 18
13 164 23
71 119 70
40 41 5
11 148 43
11 85 46
98 182 79
19 198 48
170 177 92
95 146 88
6 135 70
5 165 24
156 187 3
75 95 80
23 142 63
29 158 26
0 154 30
109 128 89
9 95 35
2 70 62
101 146 88
36 199 76
150 198 28
84 89 86
8 79 97
90 144 95
40 65 79
107 118 43
112 147 46
75 78 52
0 160 23
89 96 73
83 195 63
100 141 5
94 198 20
139 163 67
81 150 40
40 62 53
144 183 85
82 170 20
17 174 50
13 65 71
32 138 48
26 124 37
129 168 15
0 123 48
36 115 32
69 76 57
47 157 87
88 173 86
150 152 39
88 133 63
52 78 31
125 178 25
36 52 75
12 127 74
124 199 19
32 117 47
53 97 73
28 195 27
59 76 78
145 161 83
67 73 67
43 98 59
143 195 12
77 175 73
153 156 67
107 189 65
24 164 65
7 131 91
97 116 50
39 175 46
65 127 48
25 148 31
23 64 21
36 41 100
64 157 55
55 109 44
1 38 90
33 145 74
116 180 1
66 126 71
30 33 59
149 154 18
