1000 349613
1 652 31
599 876 56
278 569 81
80 433 3
241 384 8
148 953 54
254 407 22
137 867 25
270 301 78
93 568 5
217 765 34
202 707 34
50 764 40
212 628 74
350 982 12
151 412 61
247 333 53
695 712 21
668 741 39
155 563 22
746 988 2
144 531 39
285 719 82
601 778 44
130 371 82
40 246 24
636 926 98
318 879 19
74 510 21
104 601 92
962 992 69
409 880 27
189 647 73
658 843 82
558 687 67
409 616 22
719 902 1
354 863 4
357 810 4
391 949 11
594 670 56
712 747 98
704 825 97
127 191 91
434 934 83
302 363 70
205 956 80
654 961 98
705 907 62
185 984 51
343 379 13
79 242 47
223 907 52
374 870 16
251 612 62
478 966 100
63 808 9
342 702 92
10 289 44
259 633 24
167 927 76
450 605 17
624 861 74
104 643 21
259 683 65
211 600 62
470 955 31
239 288 82
244 442 58
138 464 92
45 259 56
303 986 47
9 711 59
341 485 6
20 271 48
838 845 71
593 687 32
191 449 16
316 887 87
237 928 93
158 908 51
816 881 33
511 850 75
867 911 11
478 590 75
473 678 17
10 701 59
152 335 16
617 945 29
77 696 19
50 784 65
377 763 20
124 606 23
429 569 61
132 625 13
469 781 92
163 281 48
253 941 55
535 906 76
146 400 60
24 243 88
46 980 28
556 667 35
840 924 37
0 501 54
222 755 3
217 741 40
201 934 57
85 339 84
480 949 47
97 509 62
220 466 66
132 215 46
161 972 14
32 863 94
362 552 38
316 441 98
153 603 36
156 300 18
238 296 94
131 969 60
113 213 45
303 793 38
353 592 12
594 689 58
350 749 86
373 679 36
708 846 17
466 851 20
524 536 9
168 211 55
794 876 99
697 811 61
647 769 99
993 994 21
41 636 14
195 418 69
53 644 5
319 917 15
420 767 45
198 446 28
249 391 56
571 735 67
486 765 56
163 336 33
549 923 60
61 505 20
442 761 85
361 896 53
101 866 97
190 674 18
322 909 89
42 388 61
111 541 70
285 963 55
553 934 10
60 473 73
205 275 84
771 969 62
15 924 40
612 958 12
25 499 79
202 890 56
750 860 78
439 949 39
269 890 7
215 263 40
49 359 44
487 915 53
343 680 26
796 811 77
16 745 15
730 758 57
114 372 10
311 497 85
132 768 13
111 630 37
209 310 75
172 274 64
813 838 40
9 561 47
146 278 58
210 908 68
291 730 82
185 414 90
73 639 45
467 697 49
138 915 80
449 886 99
323 900 30
189 933 40
44 616 7
756 843 40
365 499 32
90 380 63
8 599 24
212 270 92
12 82 90
68 870 74
279 412 20
191 894 91
9 433 95
777 834 51
126 967 78
505 911 71
294 445 87
151 779 41
319 371 64
287 469 89
580 733 15
42 846 18
125 937 45
437 865 41
713 755 27
18 800 75
734 925 8
221 935 63
200 712 72
83 235 8
351 743 19
614 841 12
23 471 96
656 922 42
252 796 29
378 888 26
283 443 29
154 517 22
528 878 29
139 718 99
77 414 83
11 414 26
220 389 6
362 945 19
530 767 53
349 705 61
381 645 82
411 807 25
69 439 91
3 787 26
88 360 99
647 682 59
291 915 10
444 715 71
658 691 10
201 225 83
433 741 85
415 553 14
339 820 74
78 595 79
730 841 5
415 883 46
7 56 15
56 358 88
68 651 95
165 737 92
220 592 8
413 625 91
186 800 91
71 714 53
371 645 80
433 980 61
6 79 83
149 742 4
74 164 40
447 745 61
264 273 60
7 884 29
23 242 6
122 559 45
686 873 17
42 303 14
196 954 83
344 939 73
402 695 72
383 727 91
593 702 90
126 212 100
29 824 85
557 589 18
94 229 53
360 939 69
308 667 87
680 977 68
162 361 74
184 372 27
185 915 44
175 985 98
95 196 100
534 921 85
201 454 28
613 993 99
448 683 39
250 470 19
200 540 61
246 893 3
257 676 59
281 566 78
16 405 36
432 846 58
780 799 78
260 384 82
275 735 69
256 864 98
273 389 33
317 713 27
453 964 50
303 505 66
28 942 50
309 497 58
468 594 83
123 655 90
358 729 28
226 705 47
50 955 13
69 418 66
264 659 72
147 588 25
165 693 52
177 550 33
781 851 90
199 352 46
104 935 21
162 675 38
573 626 18
284 866 26
639 695 99
313 695 56
70 680 22
54 686 57
5 584 32
305 816 14
233 921 27
232 665 41
596 787 17
515 580 14
603 700 61
111 349 4
640 760 55
244 646 61
458 462 21
685 767 62
261 488 18
188 477 95
345 644 12
509 520 63
39 177 95
797 906 35
181 301 6
715 825 3
333 776 15
776 928 5
510 927 36
26 544 59
505 541 83
263 997 23
412 836 81
76 147 27
756 921 46
174 486 68
605 906 9
521 928 95
230 918 75
774 912 43
464 699 93
185 632 27
337 581 3
75 362 46
392 516 97
190 754 38
525 568 32
54 902 58
320 729 67
175 886 5
281 764 31
213 582 50
202 947 79
703 961 50
372 634 92
825 980 42
361 363 55
265 363 5
381 477 46
244 479 61
48 55 32
513 521 78
149 747 23
135 620 33
4 486 97
599 825 50
200 481 85
331 643 16
361 886 98
392 915 14
124 166 79
502 917 85
46 566 10
76 318 7
158 193 30
90 668 44
247 505 35
631 751 92
773 986 26
595 920 62
107 482 35
863 966 85
75 177 93
303 816 61
873 881 30
715 823 8
429 731 9
387 619 58
0 270 79
528 928 53
368 802 46
324 985 35
40 502 63
29 267 9
13 766 55
449 720 11
193 586 19
634 756 90
392 969 40
604 721 16
63 90 84
137 779 49
562 716 97
186 464 65
760 870 8
485 992 73
752 818 45
268 280 12
601 967 36
374 598 53
868 920 90
453 666 25
426 506 36
699 884 14
723 727 25
227 373 3
602 909 11
405 600 46
402 517 72
346 751 81
63 963 41
254 639 19
347 624 90
632 977 16
158 770 83
515 622 91
617 844 1
34 297 55
850 911 58
427 881 18
95 890 94
692 785 55
35 50 20
37 884 92
551 760 16
128 589 82
548 900 91
22 116 32
334 764 94
264 963 28
504 844 92
350 384 98
493 930 52
714 980 73
40 722 95
755 826 99
176 588 44
389 409 75
116 480 55
149 858 54
727 968 42
184 932 78
400 498 84
151 974 57
30 550 96
351 840 49
69 161 1
345 554 28
389 987 83
79 618 32
427 922 91
380 468 35
133 693 94
181 877 56
529 554 90
591 858 4
652 759 32
696 871 43
722 858 26
132 949 81
614 995 55
33 166 78
227 480 2
218 427 68
532 694 23
543 963 19
273 841 28
925 929 70
150 379 78
244 984 66
306 597 80
148 407 13
803 807 43
212 339 92
705 779 100
508 631 80
128 526 65
208 491 44
352 925 6
539 561 26
85 489 6
579 765 25
160 623 86
673 983 1
496 884 30
21 822 60
55 577 80
17 58 87
112 999 27
567 599 9
486 518 79
466 922 40
70 170 41
172 549 81
287 977 35
387 848 80
123 473 45
15 604 47
364 615 30
534 608 73
7 783 4
371 679 86
397 576 72
206 427 72
8 383 82
399 982 30
830 881 32
442 508 2
407 622 92
36 186 3
447 961 14
319 976 96
6 403 16
788 928 85
56 686 35
36 358 5
47 924 30
478 919 90
688 728 76
124 753 90
61 560 91
208 508 86
234 257 52
165 267 78
830 842 26
100 237 81
149 502 76
115 963 95
414 877 53
51 663 37
487 785 97
2 40 73
112 686 84
115 132 46
457 550 94
171 551 68
195 642 86
607 704 19
