1000 50034
197 487 13
10 852 21
221 997 83
515 884 21
341 898 8
104 796 79
451 845 7
842 858 61
59 708 68
119 870 29
163 749 39
652 968 88
295 400 35
854 963 20
128 933 10
92 491 45
756 820 88
768 828 40
662 921 45
313 416 45
516 691 25
351 409 18
232 362 94
354 850 36
90 153 87
249 963 22
115 428 35
82 564 67
425 773 17
722 786 83
541 853 3
150 555 79
511 917 49
13 870 9
407 638 66
481 684 28
181 906 25
78 556 93
719 944 7
16 656 91
164 993 71
513 665 63
197 992 1
483 731 10
55 642 67
51 654 4
71 713 79
487 981 58
7 164 37
187 654 6
207 738 24
343 963 44
333 390 58
369 715 63
563 929 43
404 682 90
100 415 72
298 878 84
684 904 62
20 865 99
527 560 1
109 210 99
135 660 58
460 642 61
306 472 19
39 507 92
776 922 16
8 575 32
243 934 48
434 891 17
640 664 33
299 569 38
504 874 82
325 976 39
733 880 100
208 321 43
492 856 29
56 808 31
122 140 41
576 628 99
131 900 58
201 966 69
562 635 91
5 584 33
236 898 96
234 614 38
143 770 7
580 899 87
591 792 51
685 941 75
15 946 98
544 554 70
253 512 78
388 603 92
495 635 41
62 446 50
38 904 8
273 329 8
381 612 38
579 975 14
349 445 98
144 629 68
593 896 51
87 951 62
402 963 90
236 520 78
557 932 43
142 765 87
118 923 85
425 693 89
331 478 29
420 942 3
174 470 45
173 878 16
687 721 11
727 894 31
121 282 61
704 724 67
603 972 88
297 979 73
165 229 31
258 339 19
144 512 20
275 929 42
457 800 55
708 993 71
533 745 60
157 281 15
2 423 42
335 949 73
60 78 2
45 620 93
159 970 59
10 637 28
57 526 49
578 961 9
858 993 64
825 845 1
481 952 17
309 354 70
449 549 23
181 652 46
219 722 44
75 86 91
288 604 61
377 770 16
86 978 47
208 233 16
235 580 39
138 564 40
408 876 60
359 542 80
176 743 49
203 941 55
320 890 81
532 968 98
241 651 71
574 850 2
118 455 35
264 336 18
250 335 96
217 655 7
555 996 94
548 802 57
622 667 44
557 778 98
756 841 55
77 282 61
363 381 32
197 627 45
439 679 38
703 813 59
509 901 69
881 955 55
